unique_id,filename,drive_path,drive_url,estimated_date,date_confidence,era,family_grouping,people_visible,event,theme,technical_score,emotional_score,story_score,uniqueness_score,hero_score,candidate_status,notes
P004,808237465.054914.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1P9NWlt7zpYPDkYxU7_EDEIa74oqplID7/view?usp=drivesdk,2000,HIGH,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple on the sports field, facing each other; her back to camera in a white jersey numbered 11, he in a white t-shirt pulling a face","Joking around on the sideline of her lacrosse game, teams lined up in the background",Young love; Sports; Humor,5,7,8,8,7,STRONG_CANDIDATE,Hard-dated 23 April 2000 and completely unposed - he is gurning at her mid-conversation with her number 11 filling the frame. Same day as S006.
P005,808237311.073606.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1Sx2KSXqlUz5ffl_jkIKa7h32oWwzxwhf/view?usp=drivesdk,2000,HIGH,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple at a sports field; she in a white team jersey holding a lacrosse stick, he in a white t-shirt with an arm around her",He has come to watch her game; posed together on the sideline with the teams warming up behind,Young love; Sports; Growing together,5,7,8,7,7,STRONG_CANDIDATE,"Hard-dated to 23 April 2000 and shows the two of them alone, in her team uniform, at the very start of the relationship. Same roll and same day as S014."
P006,808237446.649130.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1TZ4JKRdLqSvh1T4yAdchp7wodJEW3o0K/view?usp=drivesdk,2000-2001,MEDIUM,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple indoors; he in the blue-and-white varsity jacket and baggy jeans, she in a navy sweatshirt, arms around each other",Posed together in a living room in front of a dresser with flowers and bottles,Young love; Growing together,5,7,7,6,6,STRONG_CANDIDATE,"High-school-era couple portrait, him still in his letterman jacket. Ties directly to the stamped 2000 material through the jacket and the room."
P011,808237207.078285.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1mnIak0_GtbDZAasI6iwCeBiZlK5ZXdEi/view?usp=drivesdk,2000,HIGH,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple, both in formal dress: she in a blue halter gown with an updo, he in a pale blue-grey formal suit with a white boutonniere","Posed portrait before a school formal / prom, in a living room in front of a floral upholstered chair",Young love; Milestones; Growing together,5,8,9,8,8,HERO_COUPLE,"The earliest hard-dated picture of the two of them together in this batch, and the only formal-dress portrait of them as teenagers. The stamp '00. 5.10' predates the 2003 start date given in the brief, so this pair evidently goes back to high school."
P014,808237641.187769.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/17nuPFbepaJ78sOpVNSPFuHr4HKo8HCbq/view?usp=drivesdk,2001-2004,LOW,2003-2006 BEFORE WE WERE MARRIED,Couple,The couple hugging in the front seat of a car at night,"Wrapped around each other in a parked car, lit by flash",Young love; Everyday life,5,8,6,6,7,STRONG_CANDIDATE,"Very tender - her eyes closed, both smiling, faces squeezed together. One of several car-seat frames (S020, S022, S023) that together read as a whole era of driving around."
P018,808238395.515276.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1awnob_KtGQd2FkVsQRyxGz27Wz_AHzhk/view?usp=drivesdk,2001-2004,LOW,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple kissing, lying down; her hair falling across his face, a small ring visible on her right hand resting on his shoulder","A kiss on the floor at a party - a Coors/Bud Light can, a blue balloon and drum hardware are right beside them",Young love; Growing together,5,9,8,8,9,HERO_COUPLE,"A completely private moment caught in the middle of a party - the couple alone, kissing, oblivious. Blown-out flash and grain, but the emotion carries it. Same night as S031."
P019,808237845.197929.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1nEQmffxdyCGRMKKWe5d2GQkZ8eq6zDRu/view?usp=drivesdk,2001-2004,LOW,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple in extreme close-up, lying head to head; he in a pale blue cap, she looking up at him","Lying down together, faces filling the frame, both laughing",Young love; Growing together,5,8,6,7,7,STRONG_CANDIDATE,"Grainy and slightly out of focus but emotionally the strongest kind of frame in the batch - the couple alone, entirely unguarded. No dating clues whatsoever."
P020,808237956.795177.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1uNBJ1zkE2lYs43C7Fn4-oEolur_mt4Yi/view?usp=drivesdk,2001-2004,LOW,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple lying on a carpeted floor among confetti and beer cans, heads together, laughing","The aftermath of a party - streamers and confetti all over the carpet, drum hardware and cymbal stands in the corner, cans on the side table",Young love; Friendship; Humor,5,8,8,9,8,STRONG_CANDIDATE,"Collapsed on the floor at the end of a party, still holding on to each other and laughing - the debris around them tells the whole story of the night. Same party as S049."
P023,808238004.532133.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1BG4XsVYsjNdLfWJxoBNvyy2IMm0OpNn_/view?usp=drivesdk,2002-2005,LOW,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple lying together on the settee inside a boat's cabin; she in a blue t-shirt, he beneath her grinning, striped cushions around them","Below decks on a motor boat - varnished wood table, galley sink and fridge visible, a drinks can on the counter",Vacations; Adventure; Young love,6,7,7,8,7,STRONG_CANDIDATE,Distinctive setting - a boat cabin - with the couple alone and clearly enjoying themselves. Rare location in this collection.
P025,808237914.282403.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1Qq12LmjKIlw_QDdXkFLgm506G90JO-hg/view?usp=drivesdk,2002-2005,LOW,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple on the cabin sofa; he in a black beanie and white t-shirt, she in a pale blue sweatshirt, each holding a glass of red wine",Toasting with wine glasses in the cabin living room,Young love; Vacations; Milestones,6,8,8,8,8,HERO_COUPLE,"A wine toast, just the two of them, in a borrowed cabin - reads as one of their first trips away together. Print is slightly crooked with the curtain dominating the top third."
