unique_id,filename,drive_path,drive_url,estimated_date,date_confidence,era,family_grouping,people_visible,event,theme,technical_score,emotional_score,story_score,uniqueness_score,hero_score,candidate_status,notes
P124,IMG_0053(2).JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1T_vXlGPoXj47WlD3CRvTvUbtze9JBwm8/view?usp=drivesdk,2016-11-01,HIGH,2016-2020 FAMILY OF FIVE,Family of four,"father, mother, older daughter, newborn",Hospital - first moments as four,Family growth; Sisterhood; Milestones,7,10,10,10,10,HERO,"Black and white, hospital bed, all four together for the first time. Emotionally the strongest frame so far - the literal one-became-four beat."
P107,IMG_0011.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1rQpp_sduUhg3Dy1MSrQTNExYRRfY6Ckj/view?usp=drivesdk,2013-11-01,HIGH,2013-2016 FAMILY GROWING,Family of three,"father, mother, newborn",Hospital - birth of first daughter,Becoming parents; Milestones; Parenthood,6,10,10,10,9,STRONG_CANDIDATE,"Hospital room, newborn in arms, both parents beaming. Irreplaceable - the exact hinge from couple to family. Chapter 4 opener."
P123,IMG_0030.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1NQRXRszyZFKS9vApvFZqXCD19HDn-F4R/view?usp=drivesdk,2016-11-01,HIGH,2016-2020 FAMILY OF FIVE,Family (parents + newborn),"father, mother, newborn",Hospital - birth of second daughter,Becoming parents; Family growth; Milestones,6,10,10,10,9,STRONG_CANDIDATE,"Second birth. Pairs directly with D001 - same framing, three years on."
P218,IMG_0029.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1entiin2I0fE52nhmG_bWW7a6fIT_GPUz/view?usp=drivesdk,2020,HIGH,2020-2023 THE CHAOS YEARS,Family of three,"Father in a 'my favorite people call me dad' shirt and mother in a pink tie-dye top, both in purple face masks, leaning over a newborn strapped into an infant car seat","Discharge day at the hospital, the parents with their newborn daughter buckled into her car seat, ready to go home",Becoming parents; Family growth; Parenthood; Milestones; Family of five,6,9,10,9,9,HERO,"The going-home frame: hospital bed, infant car seat with a bow-wrapped newborn, both parents masked. The masks date it to the pandemic and the shirt is the same one worn in other hospital arrivals."
P295,IMG_0142.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1eN2mZq8xUUPkt7KvjAiCTgmgf3s1ehJ6/view?usp=drivesdk,2023-07-31,HIGH,2023-2026 TODAY,Father + daughters,"The father in a pink shirt walking away from camera at dusk carrying the youngest daughter on his hip, holding the middle daughter's hand, with the eldest in a white dress walking ahead","Walking back along a marina dock at dusk after dinner, all seen from behind",Fatherhood; Vacations; Parenthood; The life we built,5,9,9,9,9,HERO,"Backs-turned dusk frame of a father hauling one daughter, leading another by the hand and following the third — motion-blurred and dark, but it carries more than any posed shot on the sheet."
P386,IMG_5909.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/11zF990veEcEI9xlSJGoWiwkz2Raj2gAk/view?usp=drivesdk,2026-04-27,HIGH,2023-2026 TODAY,Sisters,"All three daughters photographed from behind on a grass field, wearing teal team jerseys with the family surname and numbers 5, 11 and 4","The three sisters standing together on the field in their team jerseys, backs to the camera",Sports; Sisterhood; Family of five; The life we built; Growing together,8,8,9,9,9,HERO,"All three girls in the same surname on their backs, tallest to smallest, facing the field they all play on. Anonymous faces make it universal — the single best summary frame of where this family has arrived."
P286,IMG_9554.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1xl8UuaYyissIJdrrvc3Aq-bFW3I_Zv1t/view?usp=drivesdk,2023-06-18,HIGH,2023-2026 TODAY,Father + daughters,"The father (shaved head) sitting propped against a tufted headboard reading aloud from a purple folder, with three daughters piled against him — one small girl in his lap, one tucked under each arm",Father reading aloud to all three daughters on a bed,Fatherhood; Parenthood; Everyday life; Family of five,6,9,9,8,9,HERO,"All three girls are physically draped over their father while he reads — the whole family-of-five dynamic in one unposed frame. Slightly soft and casually framed, but the closeness is real."
P267,IMG_5560.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1D4YUkLYHMNfdRtfAC_tzH3XOxSgu_y_M/view?usp=drivesdk,2022-08-03,HIGH,2020-2023 THE CHAOS YEARS,Father + daughters,"Father standing chest-deep in clear turquoise water with both arms raised, the three daughters hanging off him and floating around him","Playing in the sea, the father hoisting all three girls at once",Fatherhood; Vacations; Humor; Family of five,8,9,8,8,9,HERO,"Arms up in triumph with a daughter clamped to each side and the youngest floating in front in pink armbands — genuine, physical joy. Bright water, clean exposure, holds the screen easily."
P258,IMG_1290.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1KyK1wXODY_II3cSQut1Javk-zaCur2lg/view?usp=drivesdk,2022,MEDIUM,2020-2023 THE CHAOS YEARS,Family of five,"Father in the foreground taking the selfie, mother behind, and all three daughters, everyone in Christmas pyjamas",Christmas pyjama selfie sprawled on the floor of the playroom among toys and a ball pit,Family of five; Holidays; Home; Sisterhood; The life we built,6,9,9,7,9,HERO,"All five of them piled together on the playroom floor in holiday pyjamas, every single face genuinely smiling and the toddler in the middle laughing straight down the lens. Grainy low indoor light does nothing to hurt it."
P125,IMG_0008.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1-AEXFW3Jdf0neiAs_2Oq5af2mMEkHRJb/view?usp=drivesdk,2016-11-11,HIGH,2016-2020 FAMILY OF FIVE,Family of four,"mother, older daughter, newborn, father",Older sister meeting the baby,Sisterhood; Becoming a big sister,5,9,9,9,7,STRONG_CANDIDATE,"Shot from behind the older girl - unposed, quiet. Imperfect framing but a real moment."
