sequence,filename,Drive_path,chapter,year,people,duration_seconds,layout,hero,on_screen_text,voiceover,transition,notes
001,808237311.073606.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 1 - THE BEGINNING OF US,2000,Couple,10.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,FADE_FROM_BLACK,
002,(text card),—,CHAPTER 1 - THE BEGINNING OF US,—,—,5.0,TEXT_CARD_BLACK,NO,"March 15, 2002.",,FADE_THROUGH_BLACK,"Full-screen card (START). Centred, letterspaced, no photograph behind it."
003,808237465.054914.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 1 - THE BEGINNING OF US,2000,Couple,4.0,FULL_BLEED_LANDSCAPE,NO,,,CUT,
004,808237207.078285.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 1 - THE BEGINNING OF US,2000,Couple,6.0,FULL_BLEED_LANDSCAPE,YES,,"I spent a lot of time looking through these pictures, and I realized something.",SLOW_DISSOLVE,
005,808237446.649130.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 1 - THE BEGINNING OF US,2000,Couple,3.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,
006,808237353.275005.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 1 - THE BEGINNING OF US,2000,Couple,3.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,
007,808237379.425588.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 1 - THE BEGINNING OF US,2000,Couple,4.0,FULL_BLEED_LANDSCAPE,NO,,,CROSSFADE,
008,808237328.920286.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 1 - THE BEGINNING OF US,2000,Couple,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,"date confidence LOW - placement is by era, not by a known day"
009,808237780.795335.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 1 - THE BEGINNING OF US,2001,Couple,3.5,FULL_BLEED_LANDSCAPE,NO,,,CUT,"date confidence LOW - placement is by era, not by a known day"
010,808237641.187769.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 1 - THE BEGINNING OF US,2001,Couple,4.5,FULL_BLEED_LANDSCAPE,NO,,,CROSSFADE,"date confidence LOW - placement is by era, not by a known day"
011,808237956.795177.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 1 - THE BEGINNING OF US,2001,Couple,4.0,FULL_BLEED_LANDSCAPE,NO,,,CUT,"date confidence LOW - placement is by era, not by a known day"
012,808238395.515276.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 1 - THE BEGINNING OF US,2001,Couple,7.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,SLOW_DISSOLVE,"date confidence LOW - placement is by era, not by a known day; top-tier hero score in the archive"
013,(text card),—,CHAPTER 2 - JUST THE TWO OF US,—,—,6.0,TEXT_CARD_BLACK,NO,"Before the house.
Before the kids.
Before all of this —
there was just us.",,FADE_THROUGH_BLACK,"Full-screen card (CARD2). Centred, letterspaced, no photograph behind it."
014,808238834.918744.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2002,Couple,3.5,FULL_BLEED_LANDSCAPE,NO,,I wasn't really looking at pictures of our wedding. Or pictures of vacations. Or pictures of the kids. I was looking at my life.,FADE_FROM_BLACK,
015,808238064.551831.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2002,Couple,3.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
016,808238340.621161.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2003,Friends,2.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,"date confidence LOW - placement is by era, not by a known day"
017,808238048.807234.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2003,Couple,6.5,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,SLOW_DISSOLVE,top-tier hero score in the archive
018,808239196.086460.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2003,Couple,3.5,FULL_BLEED_LANDSCAPE,NO,,,CUT,
019,808238296.786277.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2003,Couple,4.0,FULL_BLEED_LANDSCAPE,NO,,,CROSSFADE,
020,808237717.457120.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2003,Couple,3.5,FULL_BLEED_LANDSCAPE,NO,,,CUT,
021,808238949.072203.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2003,Couple,4.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,SCAN ORIENTATION: rotate before placing
022,808237412.882948.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2002,Couple,3.5,FULL_BLEED_LANDSCAPE,NO,,,CUT,"date confidence LOW - placement is by era, not by a known day"
023,808237900.776337.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2002,Couple,4.0,FULL_BLEED_LANDSCAPE,NO,,,CROSSFADE,"date confidence LOW - placement is by era, not by a known day"
024,808237914.282403.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2002,Couple,4.0,FULL_BLEED_SOFT_CROP,NO,,,CROSSFADE,"date confidence LOW - placement is by era, not by a known day"
025,808237873.452788.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2002,Couple,7.0,FULL_BLEED_LANDSCAPE,YES,,Twenty-four years together. Fifteen years married.,SLOW_DISSOLVE,"date confidence LOW - placement is by era, not by a known day; top-tier hero score in the archive"
026,808239217.875130.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2004,Couple,3.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
027,808239391.839077.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2007,Couple,4.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,
028,808239347.782889.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2007,Couple,2.5,FULL_BLEED_LANDSCAPE,NO,,,CUT,
029,808239361.376166.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2007,Other,4.0,FULL_BLEED_LANDSCAPE,NO,,,CUT,SCAN ORIENTATION: rotate before placing
030,808239495.070762.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2007,Couple,6.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,SLOW_DISSOLVE,SCAN ORIENTATION: rotate before placing; top-tier hero score in the archive
031,808238032.933769.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2003,Couple,4.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,"date confidence LOW - placement is by era, not by a known day"
032,808239309.753933.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2009,Couple,6.0,FULL_BLEED_LANDSCAPE,YES,,"And somehow, you're still the person I want sitting next to me at the end of every day.",SLOW_DISSOLVE,"date confidence LOW - placement is by era, not by a known day; top-tier hero score in the archive"
033,(text card),—,CHAPTER 2 - JUST THE TWO OF US,—,—,5.0,TEXT_CARD_BLACK,NO,"August 13, 2011.",,FADE_THROUGH_BLACK,"Full-screen card (CARD3). Centred, letterspaced, no photograph behind it."
034,808239734.733836.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2010,Other,4.0,FULL_BLEED_LANDSCAPE,NO,,,CROSSFADE,"date confidence LOW - placement is by era, not by a known day; SCAN ORIENTATION: rotate before placing"
035,808239670.703753.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2010,Individual parent,4.0,FULL_BLEED_LANDSCAPE,NO,,,CUT,"date confidence LOW - placement is by era, not by a known day"
036,808239616.215540.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2010,Couple,5.0,FULL_BLEED_LANDSCAPE,YES,,,CROSSFADE,
037,808239766.828527.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2011,Couple,5.5,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,CROSSFADE,top-tier hero score in the archive
038,808239629.718935.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 2 - JUST THE TWO OF US,2010,Couple,7.0,FULL_BLEED_LANDSCAPE,YES,,,SLOW_DISSOLVE,top-tier hero score in the archive
039,(text card),—,CHAPTER 3 - THEN EVERYTHING CHANGED,—,—,4.5,TEXT_CARD_BLACK,NO,Then everything changed.,,FADE_THROUGH_BLACK,"Full-screen card (CARD4). Centred, letterspaced, no photograph behind it."
040,IMG_0011.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2013,Family of three,9.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,We've changed. A lot.,FADE_FROM_BLACK,top-tier hero score in the archive
041,IMG_0050.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2014,Family of three,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,
042,IMG_0749.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2014,Extended family,3.5,FULL_BLEED_LANDSCAPE,NO,,,CUT,
043,IMG_1038.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2014,Family of three,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
