unique_id,filename,drive_path,drive_url,estimated_date,date_confidence,era,family_grouping,people_visible,event,theme,technical_score,emotional_score,story_score,uniqueness_score,hero_score,candidate_status,notes
P218,IMG_0029.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1entiin2I0fE52nhmG_bWW7a6fIT_GPUz/view?usp=drivesdk,2020,HIGH,2020-2023 THE CHAOS YEARS,Family of three,"Father in a 'my favorite people call me dad' shirt and mother in a pink tie-dye top, both in purple face masks, leaning over a newborn strapped into an infant car seat","Discharge day at the hospital, the parents with their newborn daughter buckled into her car seat, ready to go home",Becoming parents; Family growth; Parenthood; Milestones; Family of five,6,9,10,9,9,HERO,"The going-home frame: hospital bed, infant car seat with a bow-wrapped newborn, both parents masked. The masks date it to the pandemic and the shirt is the same one worn in other hospital arrivals."
P202,IMG_1766.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/18OqlE92ejqxJlPm2H4nkcHTPyWNpRoS-/view?usp=drivesdk,2020-03-30,HIGH,2020-2023 THE CHAOS YEARS,Extended family,"The two daughters seen from behind with their hands pressed against a glass storm door, an older grey-haired man standing outside on the walkway holding something out toward them","A visit conducted through a closed glass door - the girls at the glass, an older relative kept outside on the path",Family growth; Home; Growing older; The life we built,6,9,9,9,9,HERO,Late March 2020 and a doorway visit with the glass between them - the single most historically specific frame in this batch. The girls' small hands flat on the door do all the work; shot from inside so they are silhouetted.
P350,IMG_9386.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1eOipV-ZeX0cJL1z9lXPq6iVwPmGrUiX4/view?usp=drivesdk,2025-07-12,HIGH,2023-2026 TODAY,Other,"The father seated indoors, laughing, with dozens of small jewel stickers stuck all over his bald head and face; a daughter's hands are reaching in to place more, and the mother stands beside him",The girls decorating dad's bald head with rhinestone stickers while he sits and takes it,Humor; Fatherhood; Chaos; Everyday life,6,9,8,10,9,HERO,"Completely unrepeatable: dad's shaved head covered in gem stickers, hands still working on him, everyone laughing. Indoor light is mediocre and it doesn't matter."
P286,IMG_9554.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1xl8UuaYyissIJdrrvc3Aq-bFW3I_Zv1t/view?usp=drivesdk,2023-06-18,HIGH,2023-2026 TODAY,Father + daughters,"The father (shaved head) sitting propped against a tufted headboard reading aloud from a purple folder, with three daughters piled against him — one small girl in his lap, one tucked under each arm",Father reading aloud to all three daughters on a bed,Fatherhood; Parenthood; Everyday life; Family of five,6,9,9,8,9,HERO,"All three girls are physically draped over their father while he reads — the whole family-of-five dynamic in one unposed frame. Slightly soft and casually framed, but the closeness is real."
P258,IMG_1290.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1KyK1wXODY_II3cSQut1Javk-zaCur2lg/view?usp=drivesdk,2022,MEDIUM,2020-2023 THE CHAOS YEARS,Family of five,"Father in the foreground taking the selfie, mother behind, and all three daughters, everyone in Christmas pyjamas",Christmas pyjama selfie sprawled on the floor of the playroom among toys and a ball pit,Family of five; Holidays; Home; Sisterhood; The life we built,6,9,9,7,9,HERO,"All five of them piled together on the playroom floor in holiday pyjamas, every single face genuinely smiling and the toddler in the middle laughing straight down the lens. Grainy low indoor light does nothing to hurt it."
P239,IMG_1853.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1IVMQXMJPEqzQ4nyLIpvvuegTNHRNtzCD/view?usp=drivesdk,2021-2022,MEDIUM,2020-2023 THE CHAOS YEARS,Family of four,"mother, father and two daughters crowded into a close outdoor selfie","an arm's-length family selfie in a park, everyone laughing into the lens",Parenthood; Growing together; The life we built; Everyday life,7,9,8,7,9,HERO,"Four faces filling the frame, all four genuinely laughing - the warmest frame in this batch. Bright natural light and sharp faces despite the selfie distortion."
P273,IMG_0198.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1PgKdhjeWR4sFsxvt5cWua_ESEsnBV4ol/view?usp=drivesdk,2022-08-31,HIGH,2020-2023 THE CHAOS YEARS,Father + daughters,"Father in sunglasses in a low-angle selfie with all three daughters piled around him; the youngest drinking from a cup, one girl in a 'Best Sister' shirt","Sitting outside together, the girls crowding into a selfie",Fatherhood; Sisterhood; Humor; Everyday life,6,9,8,8,8,HERO,"Four faces stacked at different depths and none of them arranged — the toddler drinks straight through the photo and the eldest leans in laughing. Messy, warm and unrepeatable."
P115,IMG_0053(1).JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1AOR2eR_QYko18FUW0D_cFFkQcsQRw5F5/view?usp=drivesdk,2015-07-30,HIGH,2013-2016 FAMILY GROWING,Family of three,"father, mother, toddler daughter","Outdoors, overcast",Family of three; Everyday life,7,9,8,7,8,STRONG_CANDIDATE,"Tight three-head crop, all genuinely laughing. One of the warmest family-of-three frames in the archive."
P126,IMG_0009.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1GccCm4zCgyCm8Qy7PcpGANULKVs_vGKo/view?usp=drivesdk,2016-11-14,HIGH,2016-2020 FAMILY OF FIVE,Father + daughters,"father, older daughter, newborn",At home on the couch,Fatherhood; Sisterhood; Everyday life; Humor,5,8,9,9,7,STRONG_CANDIDATE,Dad holds the newborn while the big sister holds her doll in the same pose. Accidental and lovely.
P131,IMG_0131.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/19gIGtd8nSJf_723ldu-pA0dTNDSgechm/view?usp=drivesdk,2017-08-27,HIGH,2016-2020 FAMILY OF FIVE,Father + daughter,"father, daughter",Backyard,Fatherhood; Humor; Everyday life,6,8,8,9,7,STRONG_CANDIDATE,"Dad sprawled in a lawn chair, daughter in a tiny chair copying his exact pose. Genuinely funny - Chapter 5."
P322,IMG_0143.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1DBWEa1brhwJT15beUGd3GgFQ-nDz-84q/view?usp=drivesdk,2025-01-11,HIGH,2023-2026 TODAY,Father + daughters,"The father and the youngest daughter side by side, both sticking their tongues out and crossing their eyes for the camera, in a busy shop or ice-cream counter",Silly face-pulling selfie with a striped drink cup on the counter beside them,Humor; Fatherhood; Everyday life; Growing together,6,9,7,8,8,STRONG_CANDIDATE,"Father and daughter pulling identical goofy faces, tongues out — the mirroring is the whole point and it lands. Busy background, but the two of them dominate."
