unique_id,filename,drive_path,drive_url,estimated_date,date_confidence,era,family_grouping,people_visible,event,theme,technical_score,emotional_score,story_score,uniqueness_score,hero_score,candidate_status,notes
P056,808238048.807234.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1qi2Tg_MTmc8U57ISt5bugJ1ODqNzp47O/view?usp=drivesdk,2003-2006,MEDIUM,2003-2006 BEFORE WE WERE MARRIED,Couple,young couple,He lifts her off the ground indoors,Young love; Humor; Friendship,6,10,9,10,9,HERO_COUPLE,He has swept her off her feet mid-laugh in a student room. Unguarded and young - one of the best possible openings for Chapter 1.
P350,IMG_9386.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1eOipV-ZeX0cJL1z9lXPq6iVwPmGrUiX4/view?usp=drivesdk,2025-07-12,HIGH,2023-2026 TODAY,Other,"The father seated indoors, laughing, with dozens of small jewel stickers stuck all over his bald head and face; a daughter's hands are reaching in to place more, and the mother stands beside him",The girls decorating dad's bald head with rhinestone stickers while he sits and takes it,Humor; Fatherhood; Chaos; Everyday life,6,9,8,10,9,HERO,"Completely unrepeatable: dad's shaved head covered in gem stickers, hands still working on him, everyone laughing. Indoor light is mediocre and it doesn't matter."
P267,IMG_5560.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1D4YUkLYHMNfdRtfAC_tzH3XOxSgu_y_M/view?usp=drivesdk,2022-08-03,HIGH,2020-2023 THE CHAOS YEARS,Father + daughters,"Father standing chest-deep in clear turquoise water with both arms raised, the three daughters hanging off him and floating around him","Playing in the sea, the father hoisting all three girls at once",Fatherhood; Vacations; Humor; Family of five,8,9,8,8,9,HERO,"Arms up in triumph with a daughter clamped to each side and the youngest floating in front in pink armbands — genuine, physical joy. Bright water, clean exposure, holds the screen easily."
P273,IMG_0198.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1PgKdhjeWR4sFsxvt5cWua_ESEsnBV4ol/view?usp=drivesdk,2022-08-31,HIGH,2020-2023 THE CHAOS YEARS,Father + daughters,"Father in sunglasses in a low-angle selfie with all three daughters piled around him; the youngest drinking from a cup, one girl in a 'Best Sister' shirt","Sitting outside together, the girls crowding into a selfie",Fatherhood; Sisterhood; Humor; Everyday life,6,9,8,8,8,HERO,"Four faces stacked at different depths and none of them arranged — the toddler drinks straight through the photo and the eldest leans in laughing. Messy, warm and unrepeatable."
P126,IMG_0009.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1GccCm4zCgyCm8Qy7PcpGANULKVs_vGKo/view?usp=drivesdk,2016-11-14,HIGH,2016-2020 FAMILY OF FIVE,Father + daughters,"father, older daughter, newborn",At home on the couch,Fatherhood; Sisterhood; Everyday life; Humor,5,8,9,9,7,STRONG_CANDIDATE,Dad holds the newborn while the big sister holds her doll in the same pose. Accidental and lovely.
P020,808237956.795177.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1uNBJ1zkE2lYs43C7Fn4-oEolur_mt4Yi/view?usp=drivesdk,2001-2004,LOW,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple lying on a carpeted floor among confetti and beer cans, heads together, laughing","The aftermath of a party - streamers and confetti all over the carpet, drum hardware and cymbal stands in the corner, cans on the side table",Young love; Friendship; Humor,5,8,8,9,8,STRONG_CANDIDATE,"Collapsed on the floor at the end of a party, still holding on to each other and laughing - the debris around them tells the whole story of the night. Same party as S049."
P131,IMG_0131.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/19gIGtd8nSJf_723ldu-pA0dTNDSgechm/view?usp=drivesdk,2017-08-27,HIGH,2016-2020 FAMILY OF FIVE,Father + daughter,"father, daughter",Backyard,Fatherhood; Humor; Everyday life,6,8,8,9,7,STRONG_CANDIDATE,"Dad sprawled in a lawn chair, daughter in a tiny chair copying his exact pose. Genuinely funny - Chapter 5."
P322,IMG_0143.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1DBWEa1brhwJT15beUGd3GgFQ-nDz-84q/view?usp=drivesdk,2025-01-11,HIGH,2023-2026 TODAY,Father + daughters,"The father and the youngest daughter side by side, both sticking their tongues out and crossing their eyes for the camera, in a busy shop or ice-cream counter",Silly face-pulling selfie with a striped drink cup on the counter beside them,Humor; Fatherhood; Everyday life; Growing together,6,9,7,8,8,STRONG_CANDIDATE,"Father and daughter pulling identical goofy faces, tongues out — the mirroring is the whole point and it lands. Busy background, but the two of them dominate."
P373,IMG_4595.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1u0ASHsU0_J5LI3sFZXU_T_SrUQ8dxNpZ/view?usp=drivesdk,2025-12-24,HIGH,2023-2026 TODAY,Individual daughter,"Close-up of one daughter in red plaid pajamas with her mouth wide open in surprise, an adult in a Christmas sweater seated beside her at the edge of frame",Reacting to a gift on Christmas Eve — caught mid-gasp,Holidays; Home; Humor; Everyday life,6,9,7,8,8,STRONG_CANDIDATE,"Pure unguarded reaction shot: eyes wide, mouth open, caught the exact instant. Indoor light is warm and slightly soft but the expression carries it."
P329,IMG_8659.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1bjJPden-uiDH4VG_VCOTltwvSH357A4P/view?usp=drivesdk,2025-04-18,HIGH,2023-2026 TODAY,Mother + daughters,"The mother in a cap reading MOM of GIRLS, cheek to cheek in a selfie with a beaming daughter wearing a rainbow candy-bead necklace","Outdoor selfie of mother and daughter, the girl grinning with a candy necklace on",Motherhood; Parenthood; Everyday life; Humor,7,9,7,7,8,STRONG_CANDIDATE,"Enormous open-mouthed grin from the daughter against her mother's cheek, and the cap literally spells out the household. Bright natural light, tight crop."
