unique_id,filename,drive_path,drive_url,estimated_date,date_confidence,era,family_grouping,people_visible,event,theme,technical_score,emotional_score,story_score,uniqueness_score,hero_score,candidate_status,notes
P124,IMG_0053(2).JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1T_vXlGPoXj47WlD3CRvTvUbtze9JBwm8/view?usp=drivesdk,2016-11-01,HIGH,2016-2020 FAMILY OF FIVE,Family of four,"father, mother, older daughter, newborn",Hospital - first moments as four,Family growth; Sisterhood; Milestones,7,10,10,10,10,HERO,"Black and white, hospital bed, all four together for the first time. Emotionally the strongest frame so far - the literal one-became-four beat."
P107,IMG_0011.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1rQpp_sduUhg3Dy1MSrQTNExYRRfY6Ckj/view?usp=drivesdk,2013-11-01,HIGH,2013-2016 FAMILY GROWING,Family of three,"father, mother, newborn",Hospital - birth of first daughter,Becoming parents; Milestones; Parenthood,6,10,10,10,9,STRONG_CANDIDATE,"Hospital room, newborn in arms, both parents beaming. Irreplaceable - the exact hinge from couple to family. Chapter 4 opener."
P218,IMG_0029.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1entiin2I0fE52nhmG_bWW7a6fIT_GPUz/view?usp=drivesdk,2020,HIGH,2020-2023 THE CHAOS YEARS,Family of three,"Father in a 'my favorite people call me dad' shirt and mother in a pink tie-dye top, both in purple face masks, leaning over a newborn strapped into an infant car seat","Discharge day at the hospital, the parents with their newborn daughter buckled into her car seat, ready to go home",Becoming parents; Family growth; Parenthood; Milestones; Family of five,6,9,10,9,9,HERO,"The going-home frame: hospital bed, infant car seat with a bow-wrapped newborn, both parents masked. The masks date it to the pandemic and the shirt is the same one worn in other hospital arrivals."
P258,IMG_1290.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1KyK1wXODY_II3cSQut1Javk-zaCur2lg/view?usp=drivesdk,2022,MEDIUM,2020-2023 THE CHAOS YEARS,Family of five,"Father in the foreground taking the selfie, mother behind, and all three daughters, everyone in Christmas pyjamas",Christmas pyjama selfie sprawled on the floor of the playroom among toys and a ball pit,Family of five; Holidays; Home; Sisterhood; The life we built,6,9,9,7,9,HERO,"All five of them piled together on the playroom floor in holiday pyjamas, every single face genuinely smiling and the toddler in the middle laughing straight down the lens. Grainy low indoor light does nothing to hurt it."
P125,IMG_0008.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1-AEXFW3Jdf0neiAs_2Oq5af2mMEkHRJb/view?usp=drivesdk,2016-11-11,HIGH,2016-2020 FAMILY OF FIVE,Family of four,"mother, older daughter, newborn, father",Older sister meeting the baby,Sisterhood; Becoming a big sister,5,9,9,9,7,STRONG_CANDIDATE,"Shot from behind the older girl - unposed, quiet. Imperfect framing but a real moment."
P239,IMG_1853.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1IVMQXMJPEqzQ4nyLIpvvuegTNHRNtzCD/view?usp=drivesdk,2021-2022,MEDIUM,2020-2023 THE CHAOS YEARS,Family of four,"mother, father and two daughters crowded into a close outdoor selfie","an arm's-length family selfie in a park, everyone laughing into the lens",Parenthood; Growing together; The life we built; Everyday life,7,9,8,7,9,HERO,"Four faces filling the frame, all four genuinely laughing - the warmest frame in this batch. Bright natural light and sharp faces despite the selfie distortion."
P115,IMG_0053(1).JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1AOR2eR_QYko18FUW0D_cFFkQcsQRw5F5/view?usp=drivesdk,2015-07-30,HIGH,2013-2016 FAMILY GROWING,Family of three,"father, mother, toddler daughter","Outdoors, overcast",Family of three; Everyday life,7,9,8,7,8,STRONG_CANDIDATE,"Tight three-head crop, all genuinely laughing. One of the warmest family-of-three frames in the archive."
P228,IMG_2186.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1hjwTUrvj5ziQwyi5mIL--DrSAiMJK6bw/view?usp=drivesdk,2020-08-18,HIGH,2020-2023 THE CHAOS YEARS,Family of four,"Mother visibly pregnant in a floral swimsuit, father in blue trunks, and two daughters (one held on his hip, one standing in front)",Beach portrait late in the third pregnancy,Family growth; Becoming parents; Vacations; Family of four,7,8,9,7,8,HERO,"The clearest 'family of four, about to be five' frame in the batch: the bump is unmistakable and both older girls are in the shot. A natural hinge point in the documentary."
P333,IMG_3837.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1o0qlMBWGCoJ_C8IuP1otYGSbWwjCrUZl/view?usp=drivesdk,2025-05-03,HIGH,2023-2026 TODAY,Family of five,"The mother, the father in a tan suit and sunglasses, and the three daughters on the steps of a brick church, the middle-sized girl in a long white dress",Family portrait on the church steps after what appears to be a First Communion or similar church milestone for one daughter,Milestones; Family of five; Parenthood; Growing older,7,7,9,7,8,STRONG_CANDIDATE,"All five dressed up on the church steps with one daughter in the white ceremonial dress — the clearest milestone frame of the batch. Posed and squinting into sun, but unambiguous."
P112,IMG_1109.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1SZV_sj9wVQGJoK2pc--owwjyT_hSwcWe/view?usp=drivesdk,2015-01-11,HIGH,2013-2016 FAMILY GROWING,Family of three,"father, mother, toddler daughter","At home, couch",Everyday life; Fatherhood; Humor,6,8,8,8,7,STRONG_CANDIDATE,"Toddler face fills frame, dad grinning underneath, mom leaning in. Unposed and alive - exactly the everyday register the film needs."
