unique_id,filename,drive_path,drive_url,estimated_date,date_confidence,era,family_grouping,people_visible,event,theme,technical_score,emotional_score,story_score,uniqueness_score,hero_score,candidate_status,notes
P106,808239766.828527.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1Z6HAWPm_mwKkiXF2YxiQGCxZNKmW1KOl/view?usp=drivesdk,2011-2013,MEDIUM,2010-2013 EARLY FAMILY,Couple,"The mother in a black one-piece swimsuit and the father in a straw fedora, sunglasses and blue board shorts",Standing together in shallow turquoise water with the Atlantis Paradise Island Royal Towers directly behind them - the Bahamas,Vacations; Marriage; Adventure; The life we built,8,9,9,8,9,HERO_COUPLE,"COUPLE ALONE at Atlantis in the Bahamas, with the resort clearly identifiable - very likely the honeymoon, though nothing in the frame proves it outright. Sharp, bright and the best-looking print of the later era."
P295,IMG_0142.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1eN2mZq8xUUPkt7KvjAiCTgmgf3s1ehJ6/view?usp=drivesdk,2023-07-31,HIGH,2023-2026 TODAY,Father + daughters,"The father in a pink shirt walking away from camera at dusk carrying the youngest daughter on his hip, holding the middle daughter's hand, with the eldest in a white dress walking ahead","Walking back along a marina dock at dusk after dinner, all seen from behind",Fatherhood; Vacations; Parenthood; The life we built,5,9,9,9,9,HERO,"Backs-turned dusk frame of a father hauling one daughter, leading another by the hand and following the third — motion-blurred and dark, but it carries more than any posed shot on the sheet."
P267,IMG_5560.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1D4YUkLYHMNfdRtfAC_tzH3XOxSgu_y_M/view?usp=drivesdk,2022-08-03,HIGH,2020-2023 THE CHAOS YEARS,Father + daughters,"Father standing chest-deep in clear turquoise water with both arms raised, the three daughters hanging off him and floating around him","Playing in the sea, the father hoisting all three girls at once",Fatherhood; Vacations; Humor; Family of five,8,9,8,8,9,HERO,"Arms up in triumph with a daughter clamped to each side and the youngest floating in front in pink armbands — genuine, physical joy. Bright water, clean exposure, holds the screen easily."
P034,808237873.452788.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1jIhNVy6kJ_O29vYEa69eBnaUcPKWsimF/view?usp=drivesdk,2002-2005,LOW,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple kissing on a patterned sofa; he in a white vest and navy backwards cap, she in a white t-shirt leaning into him",A quiet kiss on the sofa of a wood-panelled cabin or lake house,Young love; Growing together; Vacations,7,9,8,8,9,HERO_COUPLE,"The single most intimate frame in the batch: the two of them alone, mid-kiss, no audience, warm afternoon light through the curtain. Same weekend as S027, S028 and S029."
P079,808239080.821293.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1cNoNqS3BqQpbWEFEpvur-P8dkQ69fM1h/view?usp=drivesdk,2007-05-19,HIGH,2006-2010 WEDDING / EARLY MARRIAGE,Couple,young couple,"Poolside/deck, he kisses her",Young love; Vacations,6,9,8,8,8,STRONG_CANDIDATE,"A kiss on a sunlit deck, drink in her hand. Precisely dated May 2007 - eight days after S067, so likely the same trip."
P228,IMG_2186.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1hjwTUrvj5ziQwyi5mIL--DrSAiMJK6bw/view?usp=drivesdk,2020-08-18,HIGH,2020-2023 THE CHAOS YEARS,Family of four,"Mother visibly pregnant in a floral swimsuit, father in blue trunks, and two daughters (one held on his hip, one standing in front)",Beach portrait late in the third pregnancy,Family growth; Becoming parents; Vacations; Family of four,7,8,9,7,8,HERO,"The clearest 'family of four, about to be five' frame in the batch: the bump is unmistakable and both older girls are in the shot. A natural hinge point in the documentary."
P067,808239135.948857.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1RSt5DsTKVO0gzCULwL9yH0SKhF15TTsO/view?usp=drivesdk,2005-2010,MEDIUM,2006-2010 WEDDING / EARLY MARRIAGE,Couple,young couple,"In the water in front of the Atlantis resort, Bahamas",Vacations; Adventure; Young love,7,8,8,8,8,STRONG_CANDIDATE,Standing in turquoise water with Atlantis behind. A strong candidate for the honeymoon or a major early trip - worth confirming which.
P100,808239629.718935.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1_H6iMP2FaOIuDjoS-JVt6GivkxpYLtzb/view?usp=drivesdk,2010-2013,MEDIUM,2010-2013 EARLY FAMILY,Couple,"The father in sunglasses and the mother, both in the sea","The two of them swimming together in clear turquoise ocean, heads and shoulders above water",Vacations; Young love; Adventure,7,9,7,7,9,HERO_COUPLE,"COUPLE ALONE in the ocean, both laughing - gorgeous water colour and one of the most joyful, filmic frames here. Strong hero candidate."
P119,IMG_2086.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1vaM9Oieu38rRaIAa--U5gjQ3ISNJoZ1u/view?usp=drivesdk,2016-2020,LOW,UNKNOWN,Mother + daughters,visibly pregnant mother in a swimsuit sitting on a boat bench with a small child in a life jacket beside her,"on a pontoon boat on a lake during pregnancy, a toddler in a life vest tucked against her",Becoming parents; Family growth; Motherhood; Vacations,4,8,9,9,7,STRONG_CANDIDATE,"A rare pregnancy frame - bare bump, life jacket, lake water behind - documenting a family about to grow again. Soft, slightly blown-out phone capture, but almost nothing else in the archive shows a pregnancy."
P302,IMG_3842.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1pivjc5-CZ65OATk336I4voiI2zFvsCmc/view?usp=drivesdk,2023-08-03,HIGH,2023-2026 TODAY,Sisters,"The three daughters kneeling and lying in a pile on white sand at dusk, in swimsuits, laughing toward the camera",The three sisters playing in the sand at last light with the resort and palms behind them,Sisterhood; Vacations; Family of five,8,8,7,8,9,HERO,"Wide, quiet dusk frame: three sisters tangled together on empty sand under a pastel sky and palm silhouettes. Composition and light both hold up for a long screen hold."
